token_address,contract_type,name,verified_collection,count
0x418ea4e55b03cce07831fbaf2cabfaf179249c23,ERC1155,# nft-yearn.fi,False,0
0x40c198228e4883a39d30cbee3e4fce727c9c3ec0,ERC1155,nft-fantom.com,False,0
0x4037159c6bc027ac3e13076e086e22a5f7449d4f,ERC1155,Access LINKjackpot.org to claim rewards,False,0
0x3f044e71c6619be3ce75d59a02d881c017a4b9ce,ERC1155,aave-nft.com,False,0
0x3b3486ced2a6a2459392cb1f345ab786f8a5bdf1,ERC1155,MANA Mysterybox NFT,False,0
0x3a3b0dbdc0f6bc77421dcd2f55cfa087b0db9aec,ERC721,Cyberpop Gallery,False,0
0x376c4c43e092bd48a9cdc8259dec833bbd6d6860,ERC721,,False,0
0x34d32d4f908266a01792fd278652c3d23ec67b29,ERC1155,Illuvium Mysterybox NFT,False,0
0x276483c46c892a226993bd00b41a72a4619d35de,ERC1155,Access singularitynet.biz,False,0
0x274802163a3d4e5b5b25bb3bdf3ed27472ba0784,ERC1155,SPDL Collection,False,0
0x25a66e6e0b6f8473810443feaf9c5a9ad828d63c,ERC1155,Access paxostoken.org,False,0
0x243b34ebbc9ae18b3975b059c68f197a8db579fd,ERC1155,Noox.Fi: Uniswap Receipent Badge,False,0
0x1834d23519ee88f03dcaa9941572089a06cbec34,ERC1155,nft-agix.com,False,0
0x181731c0878543403fac1436013e5b43d3cb58cb,ERC1155,Unisocks Genesis Item,False,0
0x1706fb0bd084aa3c1f4d4da65b814be276b425c1,ERC1155,Maverick Incentive Reward,False,0
0x15bb07b07816de9625bb3247332c9550b3717d97,ERC721,Documenta X by Vuk Ćosić,False,0
0x11acb73e241bf51960f36e9d78ad1d2ef4122cfa,ERC1155,Access 1inchpool.com,False,0
0x0910ec6120316daa6539643474d2087c13f0c494,ERC721,Panda Earth Wrapped,False,0
0x07ca9a493eb0de7b3d7ebe109f4a9d7207ba78d4,ERC1155,linkrewards.org,False,0
0x072aa53639ec70bc11d69bfa5b9a28d54500e10e,ERC1155,Trump 45 47,False,0
0x01d60dd27e94e03662d5878d7bfef60b8a4cb502,ERC1155,AAVE: Airdrop Recipient,False,0
0x00fd658873019300fd44bd15660dc7355f04144a,ERC1155,Maverick Reward - UNI/WETH Liquidity Position,False,0
0x6a227568087e1c7749c1799e7a780bec5962b9ca,ERC1155,sandaward.net,False,0
0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,ERC721,Ethereum Name Service,True,0
0x408f8629239f333141da2c1618fb57eab5d651ad,ERC1155,grtprotocol.com,False,0
0x2d5a7066041796e504c03be551c9b43206906f4c,ERC1155,ethblaze.com,False,0
0xef0c4061132f0c0e028c2cb98ad99c3f1b3f4048,ERC721,🦎Chameleon by Joan Heemskerk,False,0
0xe480c796966c943ee298c51620e844836dfb03e5,ERC1155,apylink.io,False,0
0xdfc4a9ca283cec072686ea90e21573f445e7c796,ERC1155,shibdao.net,False,0
0xcab6bc1b9258f1245ee5b7154b8e740937434bcb,ERC1155,getaave.org,False,0
0xb828fb9c7fef1e41f47f4589c743cc181534f89b,ERC1155,tokenshib.com,False,0
0xb0e7416a1d3e2c3ddcfd0f0721515d7c865334e0,ERC1155,pepefinance.net,False,0
0xae316c2129fedf4047b80bb09ccc008ab257c6a5,ERC1155,NEW YEAR SPECIAL,False,0
0xa8c4aa8d7a4a4b106759201f6f8ee264a4462728,ERC1155,Art Is Dead,False,0
0xa2a3e19762826df5842028e5f6c68b417e0aa27d,ERC1155,Access get-shibtoken.com to claim rewards,False,0
0x888cf965265e632a16ebb2461b9d46d32a205833,ERC1155,univ4lab.net,False,0
0x7f0cd1690e2ed5fc3616e9d7591fd5dc749a1f21,ERC721,Copteritos,False,0
0x7e7469384063f39d1c17e13e007f1d70c0b338ca,ERC1155,ether-blaze.net,False,0
0x78364cfd8e7081672a7380ed8a6c2491d5ef1204,ERC1155,,False,0
0x71997a4bc9f2c383416928b77bcddb40f84c9d07,ERC721,Documenta Y by Vuk Ćosić,False,0
0x708fb3b1d43399aff1829583016412c9ed393823,ERC1155,claim reward on blazefair.com,False,0
0x611cd495342574b0ce229ce1dbb233c76ab745c2,ERC1155,get-clink.net,False,0
0x495f947276749ce646f68ac8c248420045cb7b5e,ERC1155,OpenSea Shared Storefront,False,0
0x4037159c6bc027ac3e13076e086e22a5f7449d4f,ERC1155,Access LINKjackpot.org to claim rewards,False,0
0x34ccaa9d70f564f47d09da57c24d1335326eb4cf,ERC1155,,False,0
0x2b729d4fba5fa00b72c4d2e6d4f9ef6cbde61924,ERC1155,,False,0
0x29fd0433279d3fb9037ea2c7643546974ca60cf1,ERC1155,Maverick Incentive Reward,False,0
